date,open,high,low,close,adj_close,volume
2024-7-2,5461.839844,5509.689941,5458.430176,5509.009766,5509.009766,3329950000
2024-7-3,5507.439941,5539.27002,5507.419922,5537.02002,5537.02002,2179470000
2024-7-5,5537.910156,5570.330078,5531.629883,5567.189941,5567.189941,3253080000
2024-7-8,5572.75,5583.109863,5562.509766,5572.850098,5572.850098,3185670000
2024-7-9,5584.240234,5590.75,5574.569824,5576.97998,5576.97998,3232920000
2024-7-10,5591.259766,5635.390137,5586.439941,5633.910156,5633.910156,3336100000
2024-7-11,5635.209961,5642.450195,5576.529785,5584.540039,5584.540039,4020950000
2024-7-12,5590.759766,5655.560059,5590.439941,5615.350098,5615.350098,3700280000
2024-7-15,5638.160156,5666.939941,5614.75,5631.220215,5631.220215,3620470000
2024-7-16,5644.089844,5669.669922,5639.02002,5667.200195,5667.200195,4041760000
2024-7-17,5610.069824,5622.490234,5584.810059,5588.27002,5588.27002,4246450000
2024-7-18,5608.560059,5614.049805,5522.810059,5544.589844,5544.589844,4007510000
2024-7-19,5543.370117,5557.5,5497.040039,5505,5505,3760570000
2024-7-22,5544.540039,5570.359863,5529.040039,5564.410156,5564.410156,3375180000
2024-7-23,5565.299805,5585.339844,5550.899902,5555.740234,5555.740234,3500210000
2024-7-24,5505.839844,5508.040039,5419.97998,5427.129883,5427.129883,3945550000
2024-7-25,5428.700195,5491.589844,5390.950195,5399.220215,5399.220215,4592120000
2024-7-26,5433.669922,5488.319824,5430.700195,5459.100098,5459.100098,3638770000
2024-7-29,5476.549805,5487.740234,5444.439941,5463.540039,5463.540039,3379970000
2024-7-30,5478.72998,5489.459961,5401.700195,5436.439941,5436.439941,3777740000
2024-7-31,5505.589844,5551.509766,5493.75,5522.299805,5522.299805,4546910000
2024-8-1,5537.839844,5566.160156,5410.419922,5446.680176,5446.680176,4703620000
2024-8-2,5376.629883,5383.890137,5302.029785,5346.560059,5346.560059,5156450000
2024-8-5,5151.140137,5250.890137,5119.259766,5186.330078,5186.330078,5333250000
2024-8-6,5206.419922,5312.339844,5193.560059,5240.029785,5240.029785,4690190000
2024-8-7,5293.129883,5330.640137,5195.540039,5199.5,5199.5,4558260000
2024-8-8,5252.569824,5328.029785,5233.850098,5319.310059,5319.310059,4016830000
2024-8-9,5314.660156,5358.669922,5300.839844,5344.160156,5344.160156,3516400000
2024-8-12,5351.879883,5371.200195,5324.370117,5344.390137,5344.390137,3360160000
2024-8-13,5376.97998,5436.5,5376.97998,5434.430176,5434.430176,3648980000
2024-8-14,5442.359863,5463.220215,5415.910156,5455.209961,5455.209961,3380050000
2024-8-15,5501.129883,5546.22998,5501.129883,5543.220215,5543.220215,3723310000
2024-8-16,5530.5,5561.97998,5525.169922,5554.25,5554.25,3357690000
2024-8-19,5557.22998,5608.299805,5550.740234,5608.25,5608.25,3222050000
2024-8-20,5602.879883,5620.509766,5585.5,5597.120117,5597.120117,2994420000
2024-8-21,5603.089844,5632.680176,5591.569824,5620.850098,5620.850098,3119670000
2024-8-22,5637.77002,5643.220215,5560.950195,5570.640137,5570.640137,2981530000
2024-8-23,5602.490234,5641.819824,5585.160156,5634.609863,5634.609863,3291940000
2024-8-26,5639.660156,5651.620117,5602.339844,5616.839844,5616.839844,2938570000
2024-8-27,5602.890137,5631.180176,5593.47998,5625.799805,5625.799805,2798990000
2024-8-28,5624.509766,5627.029785,5560.950195,5592.180176,5592.180176,3053450000
2024-8-29,5607.299805,5646.950195,5583.709961,5591.959961,5591.959961,3065640000
2024-8-30,5612.740234,5651.370117,5581.790039,5648.399902,5648.399902,4185850000
2024-9-3,5623.890137,5623.890137,5504.330078,5528.930176,5528.930176,3866350000
2024-9-4,5506.680176,5552.990234,5503.660156,5520.069824,5520.069824,3478140000
2024-9-5,5520.080078,5546.299805,5480.540039,5503.410156,5503.410156,3521650000
2024-9-6,5507.330078,5522.470215,5402.620117,5408.419922,5408.419922,3822800000
2024-9-9,5442.069824,5484.200195,5434.490234,5471.049805,5471.049805,3825940000
2024-9-10,5490.509766,5497.910156,5441.720215,5495.52002,5495.52002,3848180000
2024-9-11,5496.419922,5560.410156,5406.959961,5554.129883,5554.129883,3839450000
2024-9-12,5557.47998,5600.709961,5535.5,5595.759766,5595.759766,3655070000
2024-9-13,5603.339844,5636.27002,5601.649902,5626.02002,5626.02002,3500790000
2024-9-16,5615.209961,5636.049805,5604.529785,5633.089844,5633.089844,3437070000
2024-9-17,5655.509766,5670.810059,5614.049805,5634.580078,5634.580078,3443600000
2024-9-18,5641.680176,5689.75,5615.080078,5618.259766,5618.259766,3691390000
2024-9-19,5702.629883,5733.569824,5686.419922,5713.640137,5713.640137,4024530000
2024-9-20,5709.640137,5715.140137,5674.490234,5702.549805,5702.549805,7867260000
2024-9-23,5711.899902,5725.359863,5704.220215,5718.569824,5718.569824,3529550000
2024-9-24,5727.660156,5735.319824,5698.990234,5732.930176,5732.930176,3872710000
2024-9-25,5733.649902,5741.029785,5712.060059,5722.259766,5722.259766,3624910000
2024-9-26,5762.220215,5767.370117,5721.009766,5745.370117,5745.370117,4391180000
2024-9-27,5755.359863,5763.779785,5727.339844,5738.169922,5738.169922,3898530000
2024-9-30,5726.52002,5765.140137,5703.529785,5762.47998,5762.47998,4425730000
2024-10-1,5757.72998,5757.72998,5681.279785,5708.75,5708.75,4025180000
2024-10-2,5698.140137,5719.629883,5674,5709.540039,5709.540039,3829050000
2024-10-3,5698.189941,5718.779785,5677.370117,5699.939941,5699.939941,3597450000
2024-10-4,5737.47998,5753.209961,5702.830078,5751.069824,5751.069824,3479400000
2024-10-7,5737.799805,5739.339844,5686.850098,5695.939941,5695.939941,3637790000
2024-10-8,5719.140137,5757.600098,5714.560059,5751.129883,5751.129883,3393400000
2024-10-9,5751.799805,5796.799805,5745.02002,5792.040039,5792.040039,3650340000
2024-10-10,5778.359863,5795.029785,5764.759766,5780.049805,5780.049805,3208790000
2024-10-11,5775.089844,5822.129883,5775.089844,5815.029785,5815.029785,3208720000
2024-10-14,5829.810059,5871.410156,5829.569824,5859.850098,5859.850098,3005250000
2024-10-15,5866.740234,5870.359863,5804.47998,5815.259766,5815.259766,3882120000
2024-10-16,5816.580078,5846.52002,5808.339844,5842.470215,5842.470215,3467230000
